Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
IN-00019,19/01/2023,21/01/2023,Standard Class,CUST0019,Customer 19,Home Office,India,Chennai,Tamil Nadu,600001,South,P-00019,Office Supplies,Binders,Leather Binder,1550.00,3,0.05,200.00
IN-00020,20/01/2023,22/01/2023,Second Class,CUST0020,Customer 20,Corporate,India,Hyderabad,Telangana,500001,South,P-00020,Technology,Phones,Xiaomi Mi 10,2499.99,2,0.25,310.00
IN-00021,21/01/2023,23/01/2023,Standard Class,CUST0021,Customer 21,Consumer,India,Delhi,Delhi,110001,North,P-00021,Furniture,Chairs,Leather Chair,1199.99,3,0.08,170.32
IN-00022,22/01/2023,24/01/2023,Second Class,CUST0022,Customer 22,Home Office,India,Mumbai,Maharashtra,400001,West,P-00022,Office Supplies,Binders,Plastic Binder,1100.00,2,0.06,130.50
IN-00023,23/01/2023,25/01/2023,Standard Class,CUST0023,Customer 23,Corporate,India,Bangalore,Karnataka,560001,South,P-00023,Technology,Laptops,Lenovo ThinkPad,35000.00,1,0.12,4200.00
IN-00024,24/01/2023,26/01/2023,Second Class,CUST0024,Customer 24,Consumer,India,Chennai,Tamil Nadu,600001,South,P-00024,Furniture,Storage,Wooden Shelf,950.99,3,0.10,120.00
IN-00025,25/01/2023,27/01/2023,Standard Class,CUST0025,Customer 25,Home Office,India,Hyderabad,Telangana,500001,South,P-00025,Technology,Phones,Realme 7 Pro,1899.99,1,0.20,220.00
IN-00026,26/01/2023,28/01/2023,Second Class,CUST0026,Customer 26,Corporate,India,Delhi,Delhi,110001,North,P-00026,Furniture,Chairs,Office Chair,1799.99,2,0.15,250.32
IN-00027,27/01/2023,29/01/2023,Standard Class,CUST0027,Customer 27,Consumer,India,Mumbai,Maharashtra,400001,West,P-00027,Office Supplies,Binders,Hardcover Binder,1500.00,3,0.05,190.25
IN-00028,28/01/2023,30/01/2023,Second Class,CUST0028,Customer 28,Home Office,India,Bangalore,Karnataka,560001,South,P-00028,Technology,Laptops,MacBook Air,60000.00,1,0.18,7500.00
IN-00029,29/01/2023,31/01/2023,Standard Class,CUST0029,Customer 29,Corporate,India,Chennai,Tamil Nadu,600001,South,P-00029,Furniture,Storage,Storage Shelf,1050.50,2,0.12,160.00
IN-00030,30/01/2023,01/02/2023,Second Class,CUST0030,Customer 30,Consumer,India,Hyderabad,Telangana,500001,South,P-00030,Technology,Phones,OnePlus Nord,2499.99,2,0.18,300.00
IN-00031,31/01/2023,02/02/2023,Standard Class,CUST0031,Customer 31,Home Office,India,Delhi,Delhi,110001,North,P-00031,Office Supplies,Binders,Leather Binder,1500.00,2,0.10,170.00
IN-00032,01/02/2023,03/02/2023,Second Class,CUST0032,Customer 32,Corporate,India,Mumbai,Maharashtra,400001,West,P-00032,Technology,Laptops,HP EliteBook,65000.00,1,0.15,7000.00
IN-00033,02/02/2023,04/02/2023,Standard Class,CUST0033,Customer 33,Consumer,India,Bangalore,Karnataka,560001,South,P-00033,Furniture,Chairs,Executive Chair,2399.99,2,0.10,300.00
IN-00034,03/02/2023,05/02/2023,Second Class,CUST0034,Customer 34,Home Office,India,Chennai,Tamil Nadu,600001,South,P-00034,Office Supplies,Binders,Cardboard Binder,1299.00,3,0.08,160.00
IN-00035,04/02/2023,06/02/2023,Standard Class,CUST0035,Customer 35,Corporate,India,Hyderabad,Telangana,500001,South,P-00035,Technology,Phones,Mi 11,3499.99,2,0.20,400.00
IN-00036,05/02/2023,07/02/2023,Second Class,CUST0036,Customer 36,Consumer,India,Delhi,Delhi,110001,North,P-00036,Furniture,Storage,Wooden Shelf,1099.99,5,0.15,180.00
IN-00037,06/02/2023,08/02/2023,Standard Class,CUST0037,Customer 37,Home Office,India,Mumbai,Maharashtra,400001,West,P-00037,Office Supplies,Binders,Plastic Binder,1150.50,3,0.12,150.00
IN-00038,07/02/2023,09/02/2023,Second Class,CUST0038,Customer 38,Corporate,India,Bangalore,Karnataka,560001,South,P-00038,Technology,Laptops,Lenovo IdeaPad,50000.00,1,0.10,6000.00
IN-00039,08/02/2023,10/02/2023,Standard Class,CUST0039,Customer 39,Consumer,India,Chennai,Tamil Nadu,600001,South,P-00039,Furniture,Chairs,Leather Chair,1499.99,2,0.08,200.00
IN-00040,09/02/2023,11/02/2023,Second Class,CUST0040,Customer 40,Home Office,India,Hyderabad,Telangana,500001,South,P-00040,Technology,Phones,Realme Narzo 30,2999.99,1,0.10,350.00
IN-00041,10/02/2023,12/02/2023,Standard Class,CUST0041,Customer 41,Corporate,India,Delhi,Delhi,110001,North,P-00041,Furniture,Storage,Metal Storage Cabinet,2299.00,3,0.12,300.00
IN-00042,11/02/2023,13/02/2023,Second Class,CUST0042,Customer 42,Consumer,India,Mumbai,Maharashtra,400001,West,P-00042,Office Supplies,Binders,Leather Binder,1600.00,4,0.05,210.00
IN-00043,12/02/2023,14/02/2023,Standard Class,CUST0043,Customer 43,Home Office,India,Bangalore,Karnataka,560001,South,P-00043,Technology,Phones,Samsung Galaxy M31,1699.99,2,0.18,210.00
IN-00044,13/02/2023,15/02/2023,Second Class,CUST0044,Customer 44,Corporate,India,Chennai,Tamil Nadu,600001,South,P-00044,Furniture,Chairs,Plastic Chair,750.00,5,0.12,100.00
IN-00045,14/02/2023,16/02/2023,Standard Class,CUST0045,Customer 45,Consumer,India,Hyderabad,Telangana,500001,South,P-00045,Office Supplies,Binders,Cardboard Binder,1600.00,3,0.05,170.00
IN-00046,15/02/2023,17/02/2023,Second Class,CUST0046,Customer 46,Home Office,India,Delhi,Delhi,110001,North,P-00046,Technology,Laptops,Asus ZenBook,55000.00,1,0.12,6500.00
IN-00047,16/02/2023,18/02/2023,Standard Class,CUST0047,Customer 47,Corporate,India,Mumbai,Maharashtra,400001,West,P-00047,Furniture,Storage,Storage Shelf,1000.00,4,0.10,150.00
IN-00048,17/02/2023,19/02/2023,Second Class,CUST0048,Customer 48,Consumer,India,Bangalore,Karnataka,560001,South,P-00048,Office Supplies,Binders,Leather Binder,1300.99,2,0.06,170.00
IN-00049,18/02/2023,20/02/2023,Standard Class,CUST0049,Customer 49,Home Office,India,Chennai,Tamil Nadu,600001,South,P-00049,Technology,Phones,Samsung Galaxy S21,4999.99,1,0.15,600.00
IN-00050,19/02/2023,21/02/2023,Second Class,CUST0050,Customer 50,Corporate,India,Hyderabad,Telangana,500001,South,P-00050,Furniture,Chairs,Office Chair,1500.00,3,0.08,200.00
